student_name,course_year,student_note,academic_score,anatomy_score,physiology_score,surgery_interest,cardiology_interest,neurology_interest,ent_interest,manual_dexterity,stress_tolerance,empathy,analytical_thinking,communication_skill,research_orientation,night_shift_readiness,cardiovascular_endurance,auditory_attention,precision_focus,predicted_specialty_key,predicted_specialty,confidence
Виктор Лебедев #001,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,83,88,2,4,7,0,7,5,10,10,4,8,2,4,5,10,neurology,Невролог,0.572
Ирина Белова #002,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,93,76,3,5,5,9,10,6,8,5,10,6,4,5,8,10,otolaryngology,Отоларинголог,0.5625
Дмитрий Орлов #003,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,86,89,7,9,8,1,5,6,7,9,9,6,5,9,5,9,cardiology,Кардиолог,0.3971
Ирина Белова #004,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,90,86,3,6,4,10,7,8,8,9,7,5,4,4,9,8,otolaryngology,Отоларинголог,0.4929
Кирилл Федоров #005,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,92,84,6,5,4,8,6,6,9,9,10,6,7,8,8,8,otolaryngology,Отоларинголог,0.3478
Георгий Савельев #006,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,90,86,9,5,6,0,9,7,7,7,7,3,9,7,2,10,surgery,Хирург,0.5582
Никита Жуков #007,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,73,97,2,8,7,5,3,7,9,9,6,9,5,4,8,7,neurology,Невролог,0.4318
Дмитрий Орлов #008,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,81,90,4,10,4,0,8,6,10,9,8,8,9,7,5,10,cardiology,Кардиолог,0.4358
Никита Жуков #009,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,81,93,0,5,8,1,5,5,9,8,6,7,4,3,4,9,neurology,Невролог,0.5597
Дмитрий Орлов #010,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,88,97,4,10,5,4,9,9,7,7,10,6,5,6,6,8,cardiology,Кардиолог,0.3995
Виктор Лебедев #011,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,78,95,3,3,10,1,4,9,9,8,7,7,4,6,5,7,neurology,Невролог,0.5557
Дмитрий Орлов #012,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,84,90,6,8,7,0,6,9,6,8,9,8,7,9,7,9,cardiology,Кардиолог,0.3595
Анна Котова #013,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,89,75,7,6,6,5,8,7,8,5,5,3,7,6,4,10,surgery,Хирург,0.42
Никита Жуков #014,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,76,96,2,5,7,4,4,7,8,10,5,8,6,7,8,9,neurology,Невролог,0.4621
Елена Смирнова #015,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,77,93,3,5,7,5,6,9,10,9,9,8,3,5,6,9,neurology,Невролог,0.4333
Алина Назарова #016,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,78,97,4,10,8,2,4,6,9,7,7,6,7,7,5,7,cardiology,Кардиолог,0.4535
Дмитрий Орлов #017,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,78,88,7,10,5,3,6,6,8,8,8,7,6,7,3,8,cardiology,Кардиолог,0.4426
Георгий Савельев #018,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,88,78,8,5,3,2,8,7,6,4,6,2,8,10,4,9,surgery,Хирург,0.6123
Никита Жуков #019,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,74,98,2,6,10,4,7,7,5,10,7,9,7,5,4,9,neurology,Невролог,0.5634
Никита Жуков #020,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,82,89,2,4,9,1,7,9,6,10,8,9,5,7,6,10,neurology,Невролог,0.5398
Софья Романова #021,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,84,98,3,9,8,2,8,10,9,10,10,5,7,8,4,9,cardiology,Кардиолог,0.4313
Виктор Лебедев #022,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,79,96,2,3,8,4,7,7,6,10,6,10,3,4,4,7,neurology,Невролог,0.5744
Мария Тихонова #023,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,90,85,4,5,6,8,7,4,7,8,10,3,7,6,8,10,otolaryngology,Отоларинголог,0.433
Георгий Савельев #024,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,96,85,10,5,6,4,8,9,6,5,6,4,10,8,4,10,surgery,Хирург,0.6347
Дмитрий Орлов #025,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,82,97,5,10,4,1,6,7,9,8,7,5,8,9,5,10,cardiology,Кардиолог,0.4627
Татьяна Максимова #026,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,88,92,2,8,9,3,4,8,9,10,10,10,8,9,4,9,neurology,Невролог,0.4589
Анна Котова #027,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,99,85,10,4,5,2,8,7,4,8,8,7,9,6,6,8,surgery,Хирург,0.5281
Никита Жуков #028,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,80,91,2,7,7,4,5,5,8,8,9,8,5,4,4,7,neurology,Невролог,0.4253
Алина Назарова #029,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,77,93,2,7,6,3,6,8,7,10,10,6,6,8,3,10,cardiology,Кардиолог,0.3967
Ольга Демина #030,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,80,87,83,3,1,4,7,6,8,7,6,10,5,5,2,9,8,otolaryngology,Отоларинголог,0.5234
Никита Жуков #031,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,84,88,3,5,9,3,7,9,8,8,8,10,5,5,5,10,neurology,Невролог,0.5235
Алина Назарова #032,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,75,91,4,7,8,1,6,8,8,10,10,8,9,6,7,7,neurology,Невролог,0.4115
Павел Громов #033,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,96,88,9,6,2,0,10,9,6,6,5,6,9,9,6,10,surgery,Хирург,0.6468
Ольга Демина #034,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,82,76,3,1,3,9,8,8,8,5,8,5,5,6,8,10,otolaryngology,Отоларинголог,0.5565
Ирина Белова #035,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,85,76,6,3,5,10,7,9,8,6,9,3,4,7,9,9,otolaryngology,Отоларинголог,0.5331
Анна Котова #036,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,90,76,8,6,2,5,10,10,5,9,6,3,10,6,7,10,surgery,Хирург,0.5548
Михаил Соколов #037,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,96,88,10,8,2,2,10,10,3,6,5,3,9,7,3,7,surgery,Хирург,0.695
Анна Котова #038,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,100,79,7,3,3,3,8,9,7,5,8,4,9,8,4,7,surgery,Хирург,0.5465
Мария Тихонова #039,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,90,78,4,4,7,7,8,7,7,9,7,5,5,7,8,6,otolaryngology,Отоларинголог,0.333
Алина Назарова #040,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,82,97,5,9,6,4,7,9,6,9,10,9,7,8,3,7,cardiology,Кардиолог,0.4462
Виктор Лебедев #041,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,72,91,1,5,9,2,3,8,10,10,8,10,5,3,5,10,neurology,Невролог,0.6557
Георгий Савельев #042,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,92,84,7,4,5,3,8,7,7,5,4,3,10,7,6,10,surgery,Хирург,0.5376
Дмитрий Орлов #043,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,89,92,7,7,7,3,8,7,9,9,10,8,6,10,7,7,cardiology,Кардиолог,0.3669
Кирилл Федоров #044,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,86,88,5,6,7,9,10,8,9,8,8,4,8,8,8,9,otolaryngology,Отоларинголог,0.3973
Никита Жуков #045,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,73,91,3,7,10,2,6,5,6,10,9,7,3,6,4,8,neurology,Невролог,0.5235
Никита Жуков #046,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,80,98,2,6,8,4,3,7,9,8,7,9,7,3,8,7,neurology,Невролог,0.4872
Никита Жуков #047,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,80,88,2,4,8,3,3,7,7,8,8,8,4,7,7,7,neurology,Невролог,0.4673
Алина Назарова #048,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,82,100,3,9,9,2,7,8,6,10,9,10,6,6,6,9,neurology,Невролог,0.4678
Мария Тихонова #049,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,85,81,1,3,6,10,10,8,9,7,8,5,5,3,9,6,otolaryngology,Отоларинголог,0.5921
Георгий Савельев #050,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,98,79,10,4,3,0,8,8,6,4,7,3,8,7,4,9,surgery,Хирург,0.6767
Георгий Савельев #051,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,96,80,10,4,5,2,7,9,6,4,4,2,7,10,4,7,surgery,Хирург,0.6619
Мария Тихонова #052,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,88,80,3,2,4,7,6,8,10,7,7,3,3,6,8,9,otolaryngology,Отоларинголог,0.465
Михаил Соколов #053,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,88,82,9,5,5,4,7,9,6,9,5,5,8,10,6,10,surgery,Хирург,0.4874
